#Cloud,Name,Av,alpha,T_bol,L_bol,alphaPrime,TbolPrime,LbolPrime,likelyAGB,RA,DEC,Class
Perseus,J032838.7+311806,5.9,-0.2,740.0,0.017,-0.25,830.0,0.024,N,52.161249999999995,31.301666666666666,Flat
Perseus,J032839.1+310601,5.9,1.7,28.0,0.23,1.55,29.0,0.23,Y,52.16291666666666,31.10027777777778,0+I
Perseus,J032839.7+311731,5.9,0.6,250.0,0.18,0.61,300.0,0.21,Y,52.165416666666665,31.291944444444447,0+I
Perseus,J032840.6+311756,5.9,1.0,12.0,0.58,0.96,12.0,0.58,Y,52.16916666666666,31.29888888888889,0+I
Perseus,J032842.4+302953,1.5,-0.9,1600.0,0.16,-1.05,1700.0,0.19,N,52.17666666666666,30.498055555555556,II
Perseus,J032843.2+311042,13.5,-1.5,1400.0,0.03,-1.86,1900.0,0.13,N,52.17999999999999,31.178333333333335,III
Perseus,J032843.2+311732,5.9,0.4,490.0,1.6,0.24,640.0,2.0,Y,52.17999999999999,31.292222222222225,Flat
Perseus,J032844.0+312052,4.4,-1.1,1600.0,0.021,-1.34,1800.0,0.035,N,52.18333333333333,31.347777777777775,II
Perseus,J032845.3+310541,5.9,1.1,62.0,0.41,1.09,72.0,0.43,Y,52.18874999999999,31.09472222222222,0+I
Perseus,J032846.2+311638,2.1,-1.7,1800.0,0.3,-1.84,1900.0,0.39,N,52.192499999999995,31.27722222222222,III
Perseus,J032847.6+312406,9.3,-1.1,1300.0,0.06,-1.32,1700.0,0.15,N,52.19833333333333,31.401666666666664,II
Perseus,J032847.8+311655,6.6,-0.8,1400.0,0.11,-1.1,1700.0,0.22,N,52.199166666666656,31.281944444444445,II
Perseus,J032848.7+311608,5.9,0.3,650.0,0.0089,0.2,740.0,0.012,N,52.20291666666666,31.26888888888889,Flat
Perseus,J032850.6+304244,5.9,-0.2,740.0,0.045,-0.36,970.0,0.064,N,52.21083333333333,30.71222222222222,II
Perseus,J032851.0+311818,7.3,-0.6,1300.0,0.58,-0.95,1600.0,1.2,N,52.2125,31.305,II
Perseus,J032851.0+311632,2.0,-1.3,1700.0,0.034,-1.48,1800.0,0.043,N,52.2125,31.275555555555556,II
Perseus,J032851.2+311954,5.4,-0.6,1400.0,0.31,-1.0,1600.0,0.54,N,52.213333333333324,31.331666666666667,II
Perseus,J032851.2+311739,5.9,0.8,660.0,0.012,0.6,920.0,0.017,N,52.213333333333324,31.29416666666667,0+I
Perseus,J032852.1+311547,1.8,-1.2,1600.0,0.041,-1.34,1700.0,0.051,N,52.217083333333335,31.263055555555557,II
Perseus,J032852.1+304505,3.6,-0.7,1200.0,1.1,-0.78,1400.0,1.5,N,52.217083333333335,30.75138888888889,II
Perseus,J032852.1+312245,3.3,-1.2,1700.0,0.14,-1.45,1900.0,0.2,N,52.217083333333335,31.379166666666666,II
Perseus,J032852.9+311626,1.9,-1.3,1700.0,0.025,-1.49,1800.0,0.032,N,52.22041666666666,31.273888888888887,II
Perseus,J032853.9+311809,16.7,-0.5,890.0,0.14,-1.29,1700.0,0.57,N,52.22458333333333,31.302500000000002,II
Perseus,J032854.0+311654,3.4,-0.8,1600.0,0.06,-1.07,1700.0,0.088,N,52.22499999999999,31.281666666666666,II
Perseus,J032854.6+311651,9.7,-0.7,1300.0,0.21,-1.08,1700.0,0.54,N,52.2275,31.280833333333334,II
Perseus,J032855.0+311628,11.2,-0.5,950.0,0.24,-0.76,1400.0,0.58,N,52.229166666666664,31.274444444444445,II
Perseus,J032855.5+311436,5.9,3.0,54.0,22.0,2.39,55.0,22.0,Y,52.23124999999999,31.243333333333336,0+I
Perseus,J032856.1+311908,0.0,-0.4,590.0,0.033,-0.51,590.0,0.033,N,52.23375,31.31888888888889,II
Perseus,J032856.3+312227,5.9,-0.1,440.0,0.15,-0.4,620.0,0.19,Y,52.234583333333326,31.374166666666667,II
Perseus,J032856.6+310737,5.9,0.1,170.0,0.014,0.01,190.0,0.015,N,52.235833333333325,31.126944444444444,Flat
Perseus,J032856.6+311835,9.6,-0.8,1100.0,0.39,-1.14,1600.0,0.93,N,52.235833333333325,31.309722222222224,II
Perseus,J032856.9+311622,5.9,-0.2,1100.0,0.1,-0.74,1400.0,0.17,N,52.23708333333333,31.272777777777776,II
Perseus,J032857.1+311534,7.5,-0.4,990.0,0.02,-0.71,1400.0,0.037,N,52.23791666666666,31.259444444444444,II
